"","Laji","min_1pros","max_1pros","KA_kasvusyvyys","Mediaani_kasvusyvyys","Keskihajonta","min_5_pros","max_5_pros","min_syvyys","max_syvyys","havaintojen_lkm","Lajin_90_pros_esiintyvyysrajat","lajihavainto"
"1","Mytilus trossulus.x.edulis",0,37.1510000000002,10.9955860169113,9.5,7.62949766564945,1.8135,25,0,63,38786,"1.81 - 25","Mytilus trossulus.x.edulis"
"2","Balanus improvisus..uusi.Amphibalanus.improvisus.",0.2,29,9.2310739018735,8.1,6.12635077818997,1.5,21,0,53.4,32054,"1.5 - 21","Balanus improvisus..uusi.Amphibalanus.improvisus."
"3","Cerastoderma Macoma.baltica.Mya.arenaria.kuoret",0.8,46,12.9034872328563,10.9,9.24752727199509,2.2,31,0,72,26909,"2.2 - 31","Cerastoderma Macoma.baltica.Mya.arenaria.kuoret"
"4","Ajelehtiva rihmalevä",0.2,35.2,8.54161583910919,6.8,7.40187894414739,0.6,22.5,0,79,26729,"0.6 - 22.5","Ajelehtiva rihmalevä"
"5","Kiinnittynyt tunnistamaton.rihmalevä",0.3,16.757,6.25218766712336,5.7,3.94413857899125,1,13.8,0,45,20678,"1 - 13.8","Kiinnittynyt tunnistamaton.rihmalevä"
"6","Balanus improvisus..uusi.Amphibalanus.improvisus..OLDSCALE",0,31.1,10.0575898976301,9,6.57105615817516,1.6,23,0,53.4,19316,"1.6 - 23","Balanus improvisus..uusi.Amphibalanus.improvisus..OLDSCALE"
"7","Fucus vesiculosus",0.2,15,3.30785232926278,2.6,2.95900462918881,0.5,7.9,0,41,17824,"0.5 - 7.9","Fucus vesiculosus"
"8","Cerastoderma ..Macoma.baltica...Mya.arenaria.kuoret.OLDSCALE",0.956,50.3440000000001,14.1621273622167,12,10.0934165888411,2.4,34.4,0,72,16459,"2.4 - 34.4","Cerastoderma ..Macoma.baltica...Mya.arenaria.kuoret.OLDSCALE"
"9","Hildenbrandia rubra",0,17,5.44069607636695,4.6,3.97093005380466,0.5,12.8,0,26.7,14251,"0.5 - 12.8","Hildenbrandia rubra"
"10","Electra crustulenta",0,35.5,9.90010011280316,8.2,7.51074235034902,1.2,25,0,57.4,14199,"1.2 - 25","Electra crustulenta"
"11","Potamogeton pectinatus",0.01434,6.1,1.67853442769071,1.3,1.34479478827317,0.3,4.1,0,22.3,13732,"0.3 - 4.1","Potamogeton pectinatus"
"12","Polyps",1,34.6,12.7142143897019,12,6.89617379903697,3.3,25,0,55,13082,"3.3 - 25","Polyps"
"13","Potamogeton perfoliatus",0,5.7,1.81934963653603,1.5,1.34548627697268,0.26,4.4,0,22.3,12923,"0.26 - 4.4","Potamogeton perfoliatus"
"14","Mytilus trossulus.x.edulis.OLDSCALE",0,45.649,12.6473314140468,10.7,9.57831903520812,1,32.8,0,73,12855,"1 - 32.8","Mytilus trossulus.x.edulis.OLDSCALE"
"15","Furcellaria lumbricalis",0.8952,15.4,6.63082864870086,6.3,3.23754896270887,2,12.3,0,37.8,10360,"2 - 12.3","Furcellaria lumbricalis"
"16","Rihmamaiset epifyyttiset.levät",0.2,30.8,6.9690655467081,4,7.87472732343462,0.43,22.9,0,72.2,10321,"0.43 - 22.9","Rihmamaiset epifyyttiset.levät"
"17","Cladophora glomerata",0,8,2.12122675057437,1.6,1.85331062018021,0.2,5.6,0,14.9,10044,"0.2 - 5.6","Cladophora glomerata"
"18","Ceramium tenuicorne",0,13.0780000000001,4.23521639411704,3.8,2.83986179543079,0.5,9.6,0,21,9743,"0.5 - 9.6","Ceramium tenuicorne"
"19","Polyps OLDSCALE",1,36,12.9579655827703,12,7.21085378149725,3.6,26,0,55,9490,"3.6 - 26","Polyps OLDSCALE"
"20","Saduria entomon",3.6,60.32,27.3651028806588,26,12.488236150894,9,53.4,0,75,8184,"9 - 53.4","Saduria entomon"
"21","Electra crustulenta.OLDSCALE",0,37.429,12.1822768092974,10.5,8.46709312951858,1.7,30.2,0,57.4,7587,"1.7 - 30.2","Electra crustulenta.OLDSCALE"
"22","Pilayella littoralis...Ectocarpus.siliculosus",0.2,12.3,4.11469085729788,3.7,2.79093618530731,0.6,9.2,0,22.8,7410,"0.6 - 9.2","Pilayella littoralis...Ectocarpus.siliculosus"
"23","Ephydatia fluviatilis",1,21,8.25085090958829,7.8,4.69717157373355,2.3,15.9,0,57.2,7321,"2.3 - 15.9","Ephydatia fluviatilis"
"24","Kiinnittynyt rihmamainen.punalevä",0.9,15.3,6.65858131012368,6.1,3.39380474864917,1.8,12.8,0,30.1,6667,"1.8 - 12.8","Kiinnittynyt rihmamainen.punalevä"
"25","Chorda filum",0,8.5,2.99274093264249,2.7,2.01809261433211,0.4,6.7,0,17.3,6577,"0.4 - 6.7","Chorda filum"
"26","Macoma baltica",0.5,37,9.90806857492729,9,6.62031964752048,1.7,20.5,0,56,6535,"1.7 - 20.5","Macoma baltica"
"27","Spirulina sp.",0,16.558,8.01352027138838,8,3.30916772029421,2.41,13.5,0,27.3,6418,"2.41 - 13.5","Spirulina sp."
"28","Kiinnittynyt tunnistamaton.rihmalevä...5.cm...476",0.14245,13.5,4.40116037735849,3.9,3.29560213451725,0.4,10.4,0,29.2,5954,"0.4 - 10.4","Kiinnittynyt tunnistamaton.rihmalevä...5.cm...476"
"29","Macoma baltica.OLDSCALE",1,37.8900000000003,10.664233784747,9.5,6.68215948568544,2.655,21,0,56,5614,"2.66 - 21","Macoma baltica.OLDSCALE"
"30","Myriophyllum spicatum",0.09,5,1.52913983903421,1.3,1.11574447392544,0.3,3.6,0,22.3,5025,"0.3 - 3.6","Myriophyllum spicatum"
"31","Pilayella littoralis",0,12.5,3.5008616441123,2.9,2.76314058501752,0.5,9,0,21,4960,"0.5 - 9","Pilayella littoralis"
"32","Pisces sp.",0.28,44.4589999999999,10.9417527497709,8.8,9.4136177613315,0.58,27.6,0,66.7,4382,"0.58 - 27.6","Pisces sp."
"33","Ephydatia fluviatilis.OLDSCALE",1.1,26.8400000000001,8.87536333802157,8.2,5.20760571219174,2.4,16.6,0,57.2,4273,"2.4 - 16.6","Ephydatia fluviatilis.OLDSCALE"
"34","Chara aspera",0.043,3.3,0.772809264949185,0.55,0.680151532461964,0.15,2.1,0,7,4268,"0.15 - 2.1","Chara aspera"
"35","Ulva sp.",0,7.53500000000004,1.68926068170907,1.1,1.67796500691811,0.2,4.8,0,15.34,4198,"0.2 - 4.8","Ulva sp."
"36","Najas marina",0.1,3.2,0.87168534151957,0.69,0.72655792146752,0.24,2.1,0,22.3,3932,"0.24 - 2.1","Najas marina"
"37","Sphacelaria arctica",0.7,13.5,6.97245597073426,7,2.90556730460003,2.4,12,0,18,3834,"2.4 - 12","Sphacelaria arctica"
